;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
QUALIFICAÇÃO;NOME;GRAU;DECRETO;PORTARIA;;;
Cardeal;CARLO FURNO;Grande-Oficial;20/09/1983;;;;
Senhor;CARLO GHERARDI;Oficial;12/09/1995;;;;
1S QSS SAD;CARLO RODRIGO DE ALENCAR CARRIÇO;Cavaleiro;22/10/2014;;;;
Cel Int;CARLOS ADRIANO PINHEIRO BARREIRA;Oficial;20/10/2015;;;;
Cel Int;CARLOS AFFONSO VILLAÇA;Cavaleiro;18/09/1991;;;;
Brig Ar;CARLOS AFONSO DELAMÔRA;Comendador;13/10/1969;;;;
C Alte;CARLOS AFONSO FERNANDES TESTONI;Comendador;20/09/2006;;;;
Cel Av;CARLOS AFONSO MESQUITA DE ARAUJO;Cavaleiro;02/10/2017;;;;
V Alte;CARLOS AFONSO PIERANTONI GAMBOA;Comendador;26/09/2001;;;;
Cel Eng;CARLOS AFONSO SIMÕES LOPES GASTAL;Cavaleiro;11/09/1996;;;;
Doutor;CARLOS ALBERTO ALLGAYER;Comendador;17/09/1980;;;;
Senhor;CARLOS ALBERTO ALVARENGA;Cavaleiro;07/10/1994;;;;
Doutor;CARLOS ALBERTO ALVES CAIRO;Oficial;;2.267/MD;21/10/2015;;
Professor;CARLOS ALBERTO ALVES DE CARVALHO PINTO;Grande-Oficial;18/10/1961;;;;
Cel Av;CARLOS ALBERTO ANDRADE PASSOS;Cavaleiro;29/09/2009;;;;
SO QSS BCO;CARLOS ALBERTO ARDISSONE MARQUES;Cavaleiro;17/10/2002;;;;
SO QSS BEV;CARLOS ALBERTO BAGGIO SERA;Cavaleiro;17/10/2002;;;;
Ministro;CARLOS ALBERTO BARATTA SILVA;Grande-Oficial;20/09/1983;;;;
Engenheiro;CARLOS ALBERTO BORCHERT;Cavaleiro;20/09/2006;;;;
SO QSS BET;CARLOS ALBERTO BOTTI CARELLI;Cavaleiro;12/09/1990;;;;
Cel Av;CARLOS ALBERTO BUENO;Cavaleiro;23/09/1993;;;;
Gen Ex;CARLOS ALBERTO CABRAL RIBEIRO;Grande-Oficial;05/10/1977;;;;
Promotor de Justiça;CARLOS ALBERTO CANTARUTTI;Oficial;01/10/2003;;;;
SO QSS SAD;CARLOS ALBERTO CARVALHO DE SOUZA;Cavaleiro;19/10/2010;;;;
Subprocurador-Geral da República;CARLOS ALBERTO CARVALHO DE VILHENA COELHO;Comendador;;2.267/MD;21/10/2015;;
SO QSS BEV;CARLOS ALBERTO CORREA;Cavaleiro;01/10/2003;;;;
Brig Ar;CARLOS ALBERTO CORREIA DE CASTRO PAZ;Comendador;20/09/1985;;;;
SO QSS BMB;CARLOS ALBERTO CUNHA DA SILVA;Cavaleiro;19/10/2010;;;;
CMG;CARLOS ALBERTO CUNHA DAMBROS;Oficial;26/09/2000;;;;
Brig Ar;CARLOS ALBERTO DA CONCEIÇÃO;Comendador;21/10/2011;;;;
SO QSS BCO;CARLOS ALBERTO DA COSTA MAGALHÃES;Cavaleiro;14/10/1992;;;;
Ten Cel Av;CARLOS ALBERTO DA CUNHA AFONSO;Cavaleiro;12/09/1995;;;;
Cel Av;CARLOS ALBERTO DA CUNHA E MENEZES;Cavaleiro;20/09/1984;;;;
Gen Div;CARLOS ALBERTO DA FONTOURA;Grande-Oficial;13/10/1969;;;;
Cel Av R/1;CARLOS ALBERTO DA ROCHA MOREIRA;Oficial;26/09/2005;;;;
2S QSS BMA;CARLOS ALBERTO DA SILVA;Cavaleiro;16/09/1987;;;;
SO QSS BET;CARLOS ALBERTO DA SILVA;Cavaleiro;26/09/2000;;;;
Coronel Comunicações;CARLOS ALBERTO DAHMER;Oficial;20/10/2015;;;;
CMG;CARLOS ALBERTO DE ABREU MADEIRA;Oficial;20/09/2006;;;;
C Alte (IM);CARLOS ALBERTO DE ALMEIDA JULIEN;Comendador;05/10/1977;;;;
Doutor;CARLOS ALBERTO DE ANDRADE PINTO;Oficial;17/09/1980;;;;
Cel Int;CARLOS ALBERTO DE AZEVEDO;Oficial;02/10/2017;;;;
Cel Av;CARLOS ALBERTO DE CARVALHO;Comendador;21/10/2013;; ;;
Brig Ar;CARLOS ALBERTO DE CARVALHO FAGUNDES;Comendador;26/09/2001;;;;
Cel (Ex);CARLOS ALBERTO DE MACEDO GARCIA;Oficial;08/09/1989;;;;
Maj Brig Ar;CARLOS ALBERTO DE MATTOS;Grande-Oficial;12/10/1966;;;;
Cel R/1;CARLOS ALBERTO DE PAIVA;Oficial;11/09/1996;;;;
Diretor (MECTRON);CARLOS ALBERTO DE PAIVA CARVALHO;Cavaleiro;19/10/2010;;;;
CF (IM);CARLOS ALBERTO DE PAIVA NASCIMENTO;Oficial;20/09/1983;;;;
Cel Av;CARLOS ALBERTO DE SOUSA;Oficial;21/10/2013;; ;;
Deputado Federal (RN);CARLOS ALBERTO DE SOUSA ROSADO;Grande-Oficial;06/09/2004;;;;
SO QSS BMA;CARLOS ALBERTO DE SOUZA;Cavaleiro;12/09/1995;;;;
Cel Int;CARLOS ALBERTO DE SOUZA PEREIRA;Oficial;29/09/2009;;;;
Major-Brigadeiro Intendente;CARLOS ALBERTO DIAS MARTINS;Grande-Oficial;20/09/2019;;;;
Senador da República;CARLOS ALBERTO DIAS VIANA;Grande-Oficial;20/09/2019;;;;
C Alte;CARLOS ALBERTO DO VALLE MILANEZ;Comendador;08/09/1989;;;;
SO QSS BEP;CARLOS ALBERTO DOMBROSKY;Cavaleiro;26/09/2000;;;;
Cel Int;CARLOS ALBERTO DOS SANTOS;Oficial;20/10/2015;;;;
Cap QOEA ANV R/1;CARLOS ALBERTO DOS SANTOS;Cavaleiro;13/10/2016;;;;
SO QSS SAD;CARLOS ALBERTO DOS SANTOS BALDEZ;Cavaleiro;26/09/2000;;;;
Gen Div R/1;CARLOS ALBERTO DOS SANTOS CRUZ;Grande-Oficial;15/10/2018;;;;
Senhor;CARLOS ALBERTO EDO PALMA;Cavaleiro;14/10/1992;;;;
Deputado Estadual;CARLOS ALBERTO EUGÊNIO APOLINÁRIO;Comendador;18/09/1991;;;;
Doutor;CARLOS ALBERTO FERNANDEZ NEMBRI DE BRITO;Comendador;20/09/1983;;;;
Brig Ar;CARLOS ALBERTO FERREIRA LOPES;Grande-Oficial;29/09/1971;;;;
Cel Int;CARLOS ALBERTO FLORA BAPTISTUCCI;Cavaleiro;21/10/2011;;;;
Cel Av Ref;CARLOS ALBERTO FLORES ANUNCIAÇÃO;Cavaleiro;14/10/1992;;;;
Ministro de Segunda Classe;CARLOS ALBERTO FRANCO FRANÇA;Comendador;;3.347/MD;08/09/2017;;
Diretor;CARLOS ALBERTO FREIRE RESENDE;Comendador;29/09/2009;;;;
Senador;CARLOS ALBERTO GOMES CHIARELLI;Grande-Oficial;16/09/1986;;;;
Cel Med (Ex);CARLOS ALBERTO GONÇALVES;Oficial;28/09/1999;;;;
Cel Eng;CARLOS ALBERTO GONÇALVES DE ARAÚJO;Oficial;04/10/2007;;;;
Cel Av Ref;CARLOS ALBERTO GRASSANI;Oficial;23/09/1993;;;;
C Alte;CARLOS ALBERTO GUIMARÃES DE ALMEIDA E ALBUQUERQUE;Comendador;25/09/2008;;;;
Ten Brig Ar;CARLOS ALBERTO HUET DE OLIVEIRA SAMPAIO;Grã-Cruz;07/10/1968;;;;
Cel Med;CARLOS ALBERTO JACOB SAMPAIO;Oficial;11/09/1996;;;;
Cel Av;CARLOS ALBERTO JACQUES;Cavaleiro;12/09/1990;;;;
Comandante;CARLOS ALBERTO JOSÉ DE BLASIS;Oficial;15/09/1981;;;;
2º Ten Av;CARLOS ALBERTO KLOTZ;Cavaleiro;17/09/1980;;;;
Ten Cel Av;CARLOS ALBERTO LAMAS BIAVATI;Oficial;20/09/1985;;;;
Embaixador;CARLOS ALBERTO LEITE BARBOSA;Grande-Oficial;20/09/1983;;;;
Cel Int;CARLOS ALBERTO LEITE DA SILVA;Oficial;20/10/2015;;;;
Segundo-Tenente QAO;CARLOS ALBERTO LEMMER;Cavaleiro;20/10/2015;;;;
Deputado Federal (GO);CARLOS ALBERTO LERÉIA DA SILVA;Grande-Oficial;25/09/2008;;;;
SO QSS SAD;CARLOS ALBERTO LIMA DA CRUZ;Cavaleiro;26/09/2001;;;;
Maj Av;CARLOS ALBERTO LOPES ALVES;Oficial;20/09/1985;;;;
Coronel PM (DF);CARLOS ALBERTO LOPEZ MEDEIROS;Oficial;26/09/2005;;;;
Coronel-de-Engenharia;CARLOS ALBERTO MAAS;Oficial;04/10/2007;;;;
Diretor (COMDEFESA) da FIESP;CARLOS ALBERTO MACEDO CIDADE;Cavaleiro;;3.210/GM-MD;25/09/2020;;
Cel Int R/1;CARLOS ALBERTO MACEDO DE BRITO;Cavaleiro;19/10/2010;;;;
General de Divisão;CARLOS ALBERTO MACIEL TEIXEIRA;Grande-Oficial;20/09/2019;;;;
Doutor;CARLOS ALBERTO MADEIRA;Grande-Oficial;15/09/1982;;;;
Gen Div;CARLOS ALBERTO MANSUR;Grande-Oficial;15/10/2018;;;;
SO SGS R/1;CARLOS ALBERTO MARINHO FIGUEIREDO;Cavaleiro;20/10/2015;;;;
Cel Av;CARLOS ALBERTO MARQUES;Oficial;18/09/1991;;;;
SO QSS BMB;CARLOS ALBERTO MARQUES SOARES;Cavaleiro;17/09/1980;;;;
Ministro (STM);CARLOS ALBERTO MARQUES SOARES;Grande-Oficial;16/09/1998;;;;
Maj Brig Int R/1;CARLOS ALBERTO MARTINS CAVALHEIRO;Grande-Oficial;12/09/1990;;;;
Diretor Comercial (INFRAERO);CARLOS ALBERTO MARTINS DE SOUZA;Oficial;25/09/2008;;;;
C Alte;CARLOS ALBERTO MATIAS;Comendador;21/10/2011;;;;
Ministro (STF);CARLOS ALBERTO MENEZES DIREITO;Grande-Oficial;25/09/2008;;;;
Engenheiro;CARLOS ALBERTO MOLINA;Cavaleiro;;2.818/MD;22/10/2012;;
Gen Ex;CARLOS ALBERTO NEIVA BARCELLOS;Grande-Oficial;13/10/2016;;;;
Gen de-Brig Aer (Paraguai);CARLOS ALBERTO OVANDO CARVALLO;Grande-Oficial;28/09/1999;;;;
Cel Av;CARLOS ALBERTO PANZA SANTOS;Cavaleiro;15/10/2018;;;;
Engenheiro;CARLOS ALBERTO PEDRINI;Oficial;01/10/2003;;;;
Senhor;CARLOS ALBERTO PENNA RODRIGUES DE CARVALHO;Comendador;04/10/2007;;;;
Cap QOEA Anv;CARLOS ALBERTO PEREIRA;Cavaleiro;06/09/2004;;;;
Ministro 2ª Classe;CARLOS ALBERTO PEREIRA PINTO;Comendador;04/10/1973;;;;
Embaixador;CARLOS ALBERTO PESSÔA PARDELLAS;Grande-Oficial;11/09/1996;;;;
C Alte;CARLOS ALBERTO PIMENTEL MELLO;Comendador;11/09/1996;;;;
General-de-Exército;CARLOS ALBERTO PINTO SILVA;Grande-Oficial;26/09/2005;;;;
Advogado;CARLOS ALBERTO PIRES DE CARVALHO E ALBUQUERQUE;Oficial;07/10/1994;;;;
Ten Brig Ar R/1;CARLOS ALBERTO PIRES ROLLA;Grã-Cruz;10/08/2006;;;;
Cel Ex;CARLOS ALBERTO PONZI;Oficial;04/10/1976;;;;
Maj Gen (Av);CARLOS ALBERTO PORTOCARRERO BUSTAMANTE;Comendador;;2.753/MD;22/10/2014;;
Cel Ex;CARLOS ALBERTO QUIJANO;Oficial;05/10/1977;;;;
Assessor Jurídico;CARLOS ALBERTO RATTMANN;Oficial;;2.818/MD;22/10/2012;;
Presidente do Tribunal Superior do Trabalho;CARLOS ALBERTO REIS DE PAULA;Grande-Oficial;21/10/2013;; ;;
Brig Maj;CARLOS ALBERTO REY;Grande-Oficial;12/09/1968;;;;
Professor;CARLOS ALBERTO RODRIGUES ANJOS;Cavaleiro;01/10/2003;;;;
Engenheiro;CARLOS ALBERTO RODRIGUES PEREIRA;Comendador;04/10/2007;;;;
Primeiro Secretário (Venezuela);CARLOS ALBERTO RODRIGUEZ TORREALBA;Oficial;29/09/2009;;;;
Deputado Federal (SP);CARLOS ALBERTO ROLIM ZARATTINI;Grande-Oficial;29/09/2009;;;;
Suboficial TAR;CARLOS ALBERTO ROQUE DE FARIA JÚNIOR;Cavaleiro;20/09/2019;;;;
Cel Ex;CARLOS ALBERTO SARMENTO;Oficial;25/09/1979;;;;
Ministro de Segunda Classe;CARLOS ALBERTO SIMAS MAGALHÃES;Comendador;26/09/2000;;;;
Cel Av;CARLOS ALBERTO SOARES DE CASTRO;Cavaleiro;21/10/2011;;;;
Cel Av;CARLOS ALBERTO TAVARES PEREIRA;Oficial;02/10/2017;;;;
Doutor;CARLOS ALBERTO TEIXEIRA PARANHOS;Comendador;01/09/1987;;;;
SO QSS BSP;CARLOS ALBERTO VALADÃO PIMENTEL;Cavaleiro;26/09/2000;;;;
SO BMA;CARLOS ALBERTO VIANNA JUNIOR;Cavaleiro;20/10/2015;;;;
Cel Av;CARLOS ALBERTO VIEIRA;Cavaleiro;16/09/1998;;;;
Senhor;CARLOS ALBERTO VIEIRA;Comendador;25/09/2008;;;;
Cel Ex (R/1);CARLOS ALBERTO VILANOVA;Oficial;28/09/1999;;;;
Ministro de Segunda Classe;CARLOS ALFONSO IGLESIAS PUENTE;Comendador; ;2.955/MD;22/10/2013;;
Embaixador;CARLOS ALFREDO BERNARDES;Grande-Oficial;11/10/1962;;;;
Embaixador;CARLOS ALFREDO LAZARY TEIXEIRA;Grande-Oficial;19/10/2012;;;;
Cel Ex;CARLOS ALFREDO MALAN DE PAIVA CHAVES;Oficial;01/10/1975;;;;
Cel Ex;CARLOS ALFREDO PELLEGRINO;Oficial;16/09/1986;;;;
Cel Ex;CARLOS ALFREDO TEIXEIRA MENDES DE CARVALHO;Oficial;20/09/1984;;;;
V Alte (FN);CARLOS ALFREDO VICENTE LEITÃO;Comendador;01/10/2003;;;;
Comandante;CARLOS ALVARES DE AZEVEDO MACEDO;Oficial;17/09/1980;;;;
Ten Cel Esp CTA;CARLOS ALVES DE MELO;Cavaleiro;11/09/1996;;;;
Brig Int;CARLOS AMADO MACHADO FILHO;Comendador;23/09/1997;;;;
Jornalista;CARLOS AMÉRICO AGUIAR MONFORTE;Cavaleiro;;2.267/MD;21/10/2015;;
Doutor;CARLOS AMÉRICO PACHECO;Comendador;26/09/2000;;;;
Cel Inf (Ex);CARLOS ANDRÉ ALCÂNTARA LEITE;Oficial;22/10/2014;;;;
Jornalista;CARLOS ANDRÉ SPAGAT;Grande-Oficial;04/10/2007;;;;
Cel Av;CARLOS ANÍBAL PYLES PATTO;Oficial;11/09/1996;;;;
Gen Ex;CARLOS ANNÍBAL PACHECO;Grande-Oficial;18/09/1991;;;;
SO QSS SAD;CARLOS ANTÔNIO ALMEIDA DO AMARAL;Cavaleiro;16/09/1998;;;;
Embaixador;CARLOS ANTÔNIO BETTENCOURT BUENO;Grande-Oficial;12/09/1990;;;;
Diretor (FIESP);CARLOS ANTONIO CAVALCANTI;Comendador;;1.698/MD;15/10/2016;;
Embaixador;CARLOS ANTÔNIO DA ROCHA PARANHOS;Grande-Oficial;17/10/2002;;;;
Brig Eng;CARLOS ANTÔNIO DE MAGALHÃES KASEMODEL;Comendador;21/10/2011;;;;
SO QSS BSP;CARLOS ANTONIO FERREIRA DE SOUZA;Cavaleiro;22/10/2014;;;;
SO QSS BET;CARLOS ANTONIO MATIAS;Cavaleiro;17/10/2002;;;;
Gen Div Era (México);CARLOS ANTONIO RODRÍGUEZ MUNGUÍA;Grande-Oficial;13/10/2016;;;;
Gen Ex;CARLOS ARCOVERDE DE FREITAS ALMEIDA;Grande-Oficial;18/09/1991;;;;
Ten Cel (R/1);CARLOS ARI CESAR GERMANO DA SILVA;Cavaleiro;20/09/2006;;;;
Presidente COB;CARLOS ARTHUR NUZMAN;Grande-Oficial;19/10/2010;;;;
Comandante;CARLOS ASSUNÇÃO LOPES MEDEIROS;Cavaleiro;17/09/1980;;;;
Doutor;CARLOS ÁTILA ALVARES DA SILVA;Grande-Oficial;23/09/1993;;;;
Ten Brig Ar;CARLOS AUGUSTO AMARAL OLIVEIRA;Grã-Cruz;19/04/2017;; ;;
Cel Av;CARLOS AUGUSTO ANCILON CAVALCANTE;Oficial;23/09/1993;;;;
Alte Esq;CARLOS AUGUSTO BASTOS DE OLIVEIRA;Grande-Oficial;07/10/1994;;;;
Juiz-Auditor;CARLOS AUGUSTO CARDOSO DE MORAES REGO;Oficial;16/09/1998;;;;
Cap QOEA SVM R/1;CARLOS AUGUSTO CORDEIRO;Cavaleiro;13/10/2016;;;;
Alte Esq (FN);CARLOS AUGUSTO COSTA;Grande-Oficial;28/09/1999;;;;
CMG;CARLOS AUGUSTO DA SILVA FIGUEIRA;Oficial;05/10/1977;;;;
Pós-Doutor em Física;CARLOS AUGUSTO DE AZEVEDO;Grande-Oficial;26/09/2005;;;;
Cel PM (SP);CARLOS AUGUSTO DE MELLO ARAÚJO;Oficial;23/09/1993;;;;
C Alte;CARLOS AUGUSTO DE MOURA RESENDE;Comendador;29/09/2009;;;;
Embaixador;CARLOS AUGUSTO DE PROENÇA ROSA;Grande-Oficial;15/09/1982;;;;
Alte Esq;CARLOS AUGUSTO DE SOUSA;Grande-Oficial;19/10/2012;;;;
Gen Bda;CARLOS AUGUSTO FECURY SYDRIÃO FERREIRA;Comendador;15/10/2018;;;;
Gen Bda;CARLOS AUGUSTO FERNANDES DOS SANTOS;Comendador;11/09/1996;;;;
Advogado;CARLOS AUGUSTO JATAHY DUQUE-ESTRADA JUNIOR;Cavaleiro;;1.699/MD;15/10/2016;;
Cel Int;CARLOS AUGUSTO JUNIOR;Oficial;21/10/2013;; ;;
Ten Brig Ar;CARLOS AUGUSTO LEAL VELLOSO;Grã-Cruz;26/09/2005;;;;
SO QSS BMA;CARLOS AUGUSTO LOBO TAPPEMBECK;Cavaleiro;01/10/2003;;;;
Administrador;CARLOS AUGUSTO MAUL DE OLIVEIRA;Oficial;;2.818/MD;22/10/2012;;
Cel Inf;CARLOS AUGUSTO OLIVEIRA FEITOSA;Oficial;21/10/2011;;;;
Senhor;CARLOS AUGUSTO PATRÍCIO AMORIM;Cavaleiro;05/09/1988;;;;
Doutor;CARLOS AUGUSTO PIQUET COELHO;Comendador;17/09/1980;;;;
SO QSS BCO;CARLOS AUGUSTO PISSUTTI;Cavaleiro;29/09/2009;;;;
Embaixador;CARLOS AUGUSTO REGO SANTOS NEVES;Grande-Oficial;14/10/1992;;;;
CMG;CARLOS AUGUSTO RIBEIRO MOREIRA;Oficial;20/09/1983;;;;
Advogado;CARLOS AUGUSTO SAMPAIO DE ALMEIDA;Cavaleiro; ;2.955/MD;22/10/2013;;
Cel Eng R/1;CARLOS AUGUSTO TEIXEIRA DE MOURA;Comendador;;3.209/GM-MD;25/09/2020;;
Cel Av;CARLOS AUGUSTO TEIXEIRA LOPES;Cavaleiro;22/10/2014;;;;
Almirante-de-Esquadra;CARLOS AUGUSTO VASCONCELOS SARAIVA RIBEIRO;Grande-Oficial;26/09/2005;;;;
Secretário MPOG;CARLOS AUGUSTO VIDOTTO;Oficial;21/10/2011;;;;
C Alte;CARLOS AUGUSTO VILHENA DE MAGALHÃES CUNHA;Oficial;02/10/1978;;;;
Cel Av;CARLOS AURELIANO MOTTA DE SOUZA;Comendador;21/10/2013;; ;;
Alte Esq;CARLOS AUTO DE ANDRADE;Grande-Oficial;04/10/1976;;;;
Contra-Almirante;CARLOS AUTRAN DE OLIVEIRA AMARAL;Comendador;06/09/2004;;;;
Ministro (STF);CARLOS AYRES BRITTO;Grande-Oficial;20/09/2006;;;;
CMG;CARLOS BALTHAZAR DA SILVEIRA;Oficial;17/10/1966;;;;
Senhor;CARLOS BARONE;Cavaleiro;18/09/1991;;;;
CMG;CARLOS BASTARRECHE DEL CARRE;Oficial;22/08/1972;;;;
Doutor;CARLOS BLACK PEREIRA;Oficial;05/10/1977;;;;
Gen Ex;CARLOS BOLIVAR GOELLNER;Grande-Oficial;21/10/2013;; ;;
Auditor Federal;CARLOS BORGES TEIXEIRA;Cavaleiro;19/10/2010;;;;
Cel Av;CARLOS CABRAL TEIXEIRA;Oficial;20/09/1983;;;;
Cel Int;CARLOS CALDAS;Cavaleiro;08/09/1989;;;;
Embaixador;CARLOS CALERO RODRIGUES;Grande-Oficial;20/09/1984;;;;
Delegado da Polícia Civil (MG);CARLOS CAPRISTRANO;Oficial;;1.699/MD;15/10/2016;;
Chefe de Gabinete (Casa Civil/PR);CARLOS CARBONI;Comendador;;2.818/MD;22/10/2012;;
Dom;CARLOS CARMELO DE VASCONCELOS MOTTA;Grande-Oficial;16/10/1959;;;;
Ministro de Estado;CARLOS CARMO ANDRADE MELLES;Grande-Oficial;26/09/2000;;;;
Cel Int Ref;CARLOS CASADO LIMA;Cavaleiro;23/09/1993;;;;
Gen Bda;CARLOS CESAR ARAÚJO LIMA;Comendador;29/09/2009;;;;
Cel Inf;CARLOS CÉSAR DROBINICHE LOMBARDI;Cavaleiro;13/10/2016;;;;
Gen Bda;CARLOS CESAR PAIVA DE SÁ;Comendador;17/10/2002;;;;
Suboficial BEP;CARLOS CESAR RENTE DA SILVA;Cavaleiro;20/09/2019;;;;
Ministro da Saúde;CARLOS CÉSAR SILVA DE ALBUQUERQUE;Grande-Oficial;23/09/1997;;;;
Cel Ex;CARLOS CÉZAR GUTIERREZ TAVEIRA;Oficial;01/09/1987;;;;
Jornalista;CARLOS CHAGAS;Comendador;28/09/1999;;;;
Professor;CARLOS CHAGAS FILHO;Oficial;25/09/1979;;;;
V Alte;CARLOS CHAGAS VIANNA BRAGA;Grande-Oficial;13/10/2020;;;;
Cel Av;CARLOS CONRADO PINTO COELHO;Cavaleiro;23/09/1993;;;;
Doutor;CARLOS COQUEIJO TORREÃO DA COSTA;Grande-Oficial;20/09/1985;;;;
Deputado Federal;CARLOS CORRÊA DE MENEZES SANT'ANNA;Grande-Oficial;01/09/1987;;;;
Empresário;CARLOS COSTABEBER;Cavaleiro;21/10/2011;;;;
Cap QOEA;CARLOS DA SILVA;Cavaleiro;28/09/1999;;;;
CMG (IM);CARLOS DA SILVA MOREIRA;Oficial;28/09/1999;;;;
V Alte;CARLOS DA SILVEIRA CARNEIRO;Grande-Oficial;09/10/1956;;;;
Maj;CARLOS DANTE GUERRERO;Cavaleiro;;2.753/MD;22/10/2014;;
Major General (Peru);CARLOS DAVID CABALLERO LEÓN;Comendador;15/10/2018;;;;
Alte Esq (FN);CARLOS DE ALBUQUERQUE;Grande-Oficial;20/09/1985;;;;
Ten Brig Ar R/1;CARLOS DE ALMEIDA BAPTISTA;Grã-Cruz;14/10/1992;;;;
Ten Brig Ar;CARLOS DE ALMEIDA BAPTISTA JUNIOR;Grã-Cruz;18/04/2018;; ;;
Gen Div;CARLOS DE MEIRA MATTOS;Comendador;09/10/1972;;;;
Cel Ex;CARLOS DE MOURA NETO;Oficial;18/09/1991;;;;
Cel Av;CARLOS DE ORLEANS GUIMARÃES;Oficial;04/10/1973;;;;
Brig Ar Ref;CARLOS DE SOUZA BARBOSA;Comendador;18/09/1991;;;;
Gen Ar;CARLOS DESGROUX CAMUS;Grande-Oficial;23/09/1982;;;;
SO QSS SAD;CARLOS DIAS DOS SANTOS;Cavaleiro;19/10/2012;;;;
Senador;CARLOS DO PATROCÍNIO SILVEIRA;Grande-Oficial;12/09/1995;;;;
Comandante;CARLOS DONZA;Cavaleiro;02/10/1978;;;;
Empresário;CARLOS DOS SANTOS BRAGA;Cavaleiro;;2.818/MD;22/10/2012;;
Gen Bda;CARLOS DOS SANTOS SARDINHA;Comendador;21/10/2013;; ;;
Cel Av;CARLOS DUARTE DA SILVA FORTES;Oficial;04/10/1973;;;;
Gen Brig;CARLOS DUARTE PONTUAL DE LEMOS;Comendador;13/10/2020;;;;
Cel Av;CARLOS DUEK;Cavaleiro;21/10/2013;; ;;
Cel Av;CARLOS EDIR DE ALMEIDA SOBREIRA;Oficial;04/10/2007;;;;
Alte Esq;CARLOS EDMUNDO DE LACERDA FREIRE;Grande-Oficial;23/09/1997;;;;
Cel Art (Ex);CARLOS EDMUNDO VIEIRA;Oficial;16/09/1998;;;;
C Alte (MD);CARLOS EDSON MARTINS DA SILVA;Comendador;01/10/2003;;;;
Suboficial BEI;CARLOS EDUARDO ALMEIDA DE MORAES;Cavaleiro;20/09/2019;;;;
Brig Ar;CARLOS EDUARDO ALVES DA SILVA;Comendador;22/10/2014;;;;
Defensor Público-Geral Federal;CARLOS EDUARDO BARBOSA PAZ;Grande-Oficial;15/10/2018;;;;
Cel Inf;CARLOS EDUARDO BAYÃO MERCÊS;Oficial;20/10/2015;;;;
Cel Med R/1;CARLOS EDUARDO BELLIZZI;Oficial;21/10/2011;;;;
Cel Inf;CARLOS EDUARDO BORNHAUSEN CARDOSO;Oficial;22/10/2014;;;;
Major General (AV);CARLOS EDUARDO BUENO VARGAS;Grande-Oficial;20/10/2015;;;;
Ministro (TSE);CARLOS EDUARDO CAPUTO BASTOS;Grande-Oficial;26/09/2001;;;;
Alte Esq;CARLOS EDUARDO CEZAR DE ANDRADE;Grande-Oficial;18/09/1991;;;;
Doutor;CARLOS EDUARDO COELHO DE MAGALHÃES;Oficial;25/09/1981;;;;
Senhor;CARLOS EDUARDO CORRÊA;Oficial;25/09/1979;;;;
Cel Int;CARLOS EDUARDO COSTA MATTOS;Cavaleiro;20/09/2006;;;;
Brig Ar;CARLOS EDUARDO DA COSTA ALMEIDA;Comendador;19/10/2012;;;;
Embaixador;CARLOS EDUARDO DE AFFONSECA ALVES DE SOUZA;Grande-Oficial;20/09/1985;;;;
Cel Av;CARLOS EDUARDO DE ALMEIDA COELHO;Cavaleiro;15/10/2018;;;;
Senhor;CARLOS EDUARDO DE AZEVEDO;Oficial;21/10/2011;;;;
Cel Av;CARLOS EDUARDO DE CARVALHO AYRES;Cavaleiro;23/09/1993;;;;
Governador (AM);CARLOS EDUARDO DE SOUZA BRAGA;Grande-Oficial;20/09/2006;;;;
Secretário-Executivo (MPS);CARLOS EDUARDO GABAS;Comendador;;2.753/MD;22/10/2014;;
Cel Av;CARLOS EDUARDO GAMA RIBEIRO;Oficial;20/10/2015;;;;
C Alte;CARLOS EDUARDO HORTA ARENTZ;Comendador;15/10/2018;;;;
Cel Inf;CARLOS EDUARDO ILHA DOS SANTOS;Oficial;20/10/2015;;;;
Gen Bda;CARLOS EDUARDO JANSEN;Comendador;23/09/1997;;;;
C Alte;CARLOS EDUARDO JORDÃO MONTENEGRO;Comendador;01/10/1975;;;;
Cel Av R/1;CARLOS EDUARDO MACEDO;Oficial;28/09/1999;;;;
Cel R/1;CARLOS EDUARDO MAGALHÃES DA SILVEIRA PELLEGRINO;Oficial;04/10/2007;;;;
Cel Av R/1;CARLOS EDUARDO MARTINS;Oficial;04/10/2007;;;;
Desembargador Federal (Presidente TRF1);CARLOS EDUARDO MAUL MOREIRA ALVES;Comendador;;3.552/GM-MD;21/09/2018;;
Advogado;CARLOS EDUARDO MOREIRA FERREIRA;Oficial;23/09/1997;;;;
1º Secretário;CARLOS EDUARDO PAES DE CARVALHO;Oficial;04/10/1976;;;;
Doutor;CARLOS EDUARDO QUARTIM BARBOSA;Comendador;25/09/1981;;;;
1º Ten Med;CARLOS EDUARDO RODRIGUES DA CUNHA;Cavaleiro;12/09/1990;;;;
Gen Ar;CARLOS EDUARDO SAMAMÉ QUIÑONES;Grande-Oficial;19/10/2010;;;;
Desembargador (TRF 4);CARLOS EDUARDO THOMPSON FLORES LENZ;Comendador;;1.699/MD;15/10/2016;;
Senador (TO);CARLOS EDUARDO TORRES GOMES;Grande-Oficial;13/10/2020;;;;
Cel Av R/1;CARLOS EDUARDO VALLE ROSA;Cavaleiro;19/10/2010;;;;
