AUTORIDADES APOIADAS;ORIGEM;"DECOLAGEM
(H. LOCAL)";DESTINO;"POUSO
(H. LOCAL)";MOTIVO;"PREVISÃO DE
PASSAGEIROS";
Presidente do Supremo Tribunal Federal;Manaus (Eduardo Gomes);26/01/2024 - 13:10;San Jose (Costa Rica);26/01/2024 - 15:20;"Serviço/Segurança 
";8;
Presidente do Supremo Tribunal Federal;San Jose (Costa Rica);29/01/2024 - 15:10;Manaus (Eduardo Gomes);29/01/2024 - 21:25;"Serviço/Segurança 
";11;
Presidente do Supremo Tribunal Federal;Manaus (Eduardo Gomes);29/01/2024 - 22:10;Brasília;30/01/2024 - 01:55;"Serviço/Segurança 
";11;
Ministro do Desenvolvimento e Assistência Social, Família e Combate à Fome;Brasília;30/01/2024 - 07:15;João Pessoa;30/01/2024 - 09:45;Serviço;12;VOO COMPARTILHADO
Ministro das Cidades;Brasília;30/01/2024 - 07:15;João Pessoa;30/01/2024 - 09:45;Serviço;12;VOO COMPARTILHADO
Ministro Integração do Desenvolvimento Regional;Brasília;30/01/2024 - 10:00;Recife;30/01/2024 - 12:30;"Serviço 
";10;
Ministro Integração do Desenvolvimento Regional;Recife;30/01/2024 - 18:05;Brasília;30/01/2024 - 20:25;"Serviço 
";10;
Ministro das Cidades;João Pessoa;30/01/2024 - 15:40;Brasília;30/01/2024 - 18:15;"Serviço 
";12;
À Disposição do Ministério da Defesa;São Paulo (Congonhas);31/01/2024 - 11:40;Brasília;31/01/2024 - 13:10;Serviço/Segurança;3;
Ministro do Desenvolvimento e Assistência Social, Família e Combate à Fome;Brasília;31/01/2024 - 05:35;Natal (Parnamirim);31/01/2024 - 07:55;"Serviço 
";12;
Ministro do Desenvolvimento e Assistência Social, Família e Combate à Fome;Natal (Parnamirim);31/01/2024 - 14:20;Brasília;31/01/2024 - 16:55;"Serviço 
";12;
